"Internshala Student Partner
                        Internshala                    Work From Home","Work From Home                
                                Start Date                            Duration
                                Stipend                            Apply By"
"Campus Ambassador
                        Abhyuday IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Marketing
                        BYJU'S The Learning App                    KottayamPathanamthitta","Kottayam, Pathanamthitta                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Human Resources (HR)
                        Times Internet                    DelhiMumbaiNoida","Delhi, Mumbai, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Project Management
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Motion Graphics Editing (Malayalam)
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000-25000 /monthApply By"
"Web Development
                        Ola (ANI Technologies Private Limited)                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Digital Marketing
                        ShareChat                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Marketing
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Operations
                        Urban Company                    Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-12000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Raipur","Raipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000-18000 /monthApply By"
"Motion Graphics
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Bhubaneswar","Bhubaneswar                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-10000 /monthApply By"
"Content Editorial (Podcast)
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Business Development (Sales)
                        Decathlon Sports India                    Jaipur","Jaipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        CIIE Initiatives (IIM Ahmedabad)                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Android  Development
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Content Writing (Cricket)
                        Sportskeeda                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000-15000 /monthApply By"
"QA Engineering
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Machine Learning
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Operations
                        CIIE Initiatives (IIM Ahmedabad)                    Indore","Indore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7500 /monthApply By"
"Content Writing (NFL)
                        Sportskeeda                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-15000 /monthApply By"
"News Listening (NFL)
                        Sportskeeda                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-15000 /monthApply By"
"Ruby On Rails Development
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Employee Engagement (HR)
                        BookMyShow                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Node.js Development
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    GhaziabadNoida","Ghaziabad, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Business Development (Sales)
                        Think & Learn Private Limited (BYJU'S)                    ThaneNavi MumbaiKalyanMumbaiVasaiVasai-Virar","Thane, Navi Mumbai, Kalyan, Mumbai, Vasai, Vasai-Virar                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Operations
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Graphic Design
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Human Resources (HR)
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Business Development (Sales)
                        Decathlon Sports India                    Noida","Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Digital Marketing
                        Urban Company                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Operations
                        UrbanClap                    Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        CRY - Child Rights And You                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Business Development (Sales)
                        Urban Company                    GurgaonDelhiNoida","Gurgaon, Delhi, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Content Editing (Bengali)
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Market Research
                        BYJU'S The Learning App                    Mangalore","Mangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000 /monthApply By"
"Operations
                        Urban Company                    Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             9000 /monthApply By"
"Internshala Student Partner
                        Internshala                    Work From Home","Work From Home                
                                Start Date                            Duration
                                Stipend                            Apply By"
"Campus Ambassador
                        Abhyuday IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Marketing
                        BYJU'S The Learning App                    KottayamPathanamthitta","Kottayam, Pathanamthitta                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Human Resources (HR)
                        Times Internet                    DelhiMumbaiNoida","Delhi, Mumbai, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Project Management
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Motion Graphics Editing (Malayalam)
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000-25000 /monthApply By"
"Web Development
                        Ola (ANI Technologies Private Limited)                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Digital Marketing
                        ShareChat                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Marketing
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By"
"Operations
                        Urban Company                    Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-12000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Raipur","Raipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000-18000 /monthApply By"
"Motion Graphics
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
